Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
"USA,NE,2012,""11        "",Male,15,Right-Handed,75,29,195,1,Car,8,.509,44,""Football (American)"",257,396,107,599,1000,198,29,""Same length"",85,80,""Index finger"",May,Fall,No,No,Meat,Water,English,8,11,8,""Yes - broadband connection"",""In person"",5,4,130,3,12,20,18,8,10,20,40,10,0,15,Some,""Graduate degree"",""Rap/Hip hop"",Telepathy,Happy,""Business person"",""Education/Youth development"""
"USA,NE,2018,""12        "",Male,17,Right-Handed,180,24,2,1,Car,8,.481,42,Other,754,754,1000,861,305,401,,""Same length"",,,,March,Fall,No,No,Seafood,""Powdered drink"",History,7,9,4,""Yes - broadband connection"",""Internet chat or instant messaging"",7,30,10,.5,12,5,7,20,2,1.5,10,5,0,4,""A lot"",""Graduate degree"",Other,""Freeze time"",Happy,""Community leader or elder"",""Wildlife, animals"""
"USA,NE,2021,""7         "",Female,12,Right-Handed,149.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"USA,NE,2017,""12        "",Male,17,Right-Handed,157,26,174,1,Car,""10 "",.344,56,Soccer,0,1000,305,898,1000,1000,26,""Same length"",98,113,""Ring finger"",February,Fall,Yes,No,Poultry,Milk,History,6,8,4,""Yes - other"",""Text messaging"",150,300,15,2,0,5,1,15,40,60,6,3,26,1,""Very little"",""Graduate degree"",Pop,""Freeze time"",Healthy,Relative,Environment"
"USA,NE,2013,""12        "",Male,17,Right-Handed,182,27,185,1,Car,10,.345,46,Basketball,300,400,600,500,700,999,27,""Same length"",85,80,""Ring finger"",March,Winter,No,No,Meat,""Soft drink (caffeinated)"",""Mathematics and statistics"",""6 "",9,2,""Yes - broadband connection"",""In person"",30,30,15,1,5,2,10,20,2,1,20,10,22,5,None,""High school"",Pop,""Freeze time"",Rich,""Sports person"",Health"
"USA,NE,2014,""10        "",Female,18,Right-Handed,5.4,17.8,162.5,1,Car,15,.479,32,Dancing,1000,1000,1000,400,600,600,17.8,""Same length"",30,30,""Same length"",August,Winter,Yes,No,Pizza/Pasta,Water,Art,5,12,4,""Yes - broadband connection"",""Text messaging"",400,200,10,3,6,20,40,0,40,70,40,80,20,3,""A lot"",""Graduate degree"",""Rap/Hip hop"",Fly,Happy,Relative,""Wildlife, animals"""
"USA,NE,2012,""12        "",Male,17,Right-Handed,""185 "",28,190,""1 "",Car,10,.302,,""Football (American)"",400,700,400,500,1000,950,28,""Same length"",90,100,""Index finger"",January,Summer,Yes,No,Meat,Water,""Social studies"",7.5,8,4,""Yes - broadband connection"",""In person"",40,40,5,7,3,6,15,1,8,3,9,9,8,5,Some,""Graduate degree"",Country,Telepathy,Happy,Relative,Health"
"USA,NE,2018,""9         "",Male,14,Right-Handed,167,24.5,83,2,Car,10,0.371,56,Soccer,754,663,877,428,299,610,25,""Left foot"",90,90,""Same length"",November,Fall,No,No,""No favorite"",Milk,History,9,7,5,""Yes - broadband connection"",""Myspace, Facebook, other social networking sites, or blog"",0,0,0,18,16,24,10,4,18,0,30,25,0,16,Some,Other,""Rap/Hip hop"",""Freeze time"",Famous,Politician,""Education/Youth development"""
"USA,NE,2018,""9         "",Female,14,Right-Handed,162.5,23,,2,Car,,,,Running/Jogging,1000,1000,1000,1000,500,1000,22,""Same length"",75,70,""Index finger"",April,Winter,Yes,No,Breads/Sandwiches,Juice,History,6,2,6,""Yes - other"",,100,20,10,4,6,30,5,6,60,50,100,45,40,100,Some,""High school"",""Rap/Hip hop"",""Freeze time"",Rich,Other,""Wildlife, animals"""
"USA,NE,2023,""12        "",Female,16,Right-Handed,167,25.5,173.5,1,Car,8,.308,27,Soccer,1000,1000,1000,1000,700,1000,25.5,""Same length"",77,71,""Index finger"",September,Fall,No,Yes,Pizza/Pasta,Water,Science,8,9,3,""Yes - other"",""In person"",22,30,5,1,10,3,11,1,5,8,8,12,0,0,Some,""Graduate degree"",Pop,""Freeze time"",Happy,""Sports person"",Environment"
"USA,NE,2017,""11        "",Female,18,Right-Handed,170,23,156,1,Car,3,.538,34,Dancing,500,700,300,250,800,1000,23,""Same length"",80,86,""Ring finger"",May,Spring,Yes,No,Desserts,Water,Art,7.5,8.5,3,""Yes - broadband connection"",""Text messaging"",5,5,2,0,2,10,3,0,10,1,10,2,0,10,""A lot"",""Undergraduate degree"",Pop,Invisibility,Happy,Other,Religious"
"USA,NE,2017,""12        "",Male,17,Right-Handed,155,24,178,2,Car,16,.344,50,Other,385,749,390,781,1000,1000,24,""Same length"",104,102,""Ring finger"",July,Fall,No,No,Pizza/Pasta,Water,Art,7,9,5,""Yes - broadband connection"",""Text messaging"",20,20,10,1,3,5,1,2,5,4,5,3,10,1,Some,""Undergraduate degree"",""Rap/Hip hop"",""Freeze time"",Happy,Friend,""International aid"""
"USA,NE,2016,""11        "",Female,17,Right-Handed,162,25,150,1,Car,10,.33,35,Dancing,5,4,3,2,6,1,26,""Left foot"",750,800,""Ring finger"",January,Summer,Yes,No,Seafood,Water,""Physical education"",7.5,6,6,""Yes - broadband connection"",""Text messaging"",100,75,15,2,8,15,6,6,12,12,8,10,5,2,Some,""Graduate degree"",Country,""Freeze time"",Happy,Relative,Health"
"USA,NE,2019,""12        "",Female,17,Right-Handed,150,22,148,1,Car,8,.37,47,Cycling,749,1000,845,684,209,380,22,""Same length"",68,72,""Ring finger"",April,Spring,Yes,No,Desserts,Water,English,6,9,4,""No internet connection"",""Text messaging"",144,159,9,2,4,7,2,9,5,9,10,2,4,3,""A lot"",""High school"",Country,Invisibility,Happy,Friend,""International aid"""
"USA,NE,2019,""12        "",Male,17,Right-Handed,186,27,187,1,Car,5,.399,44,""Hockey (Ice)"",225,225,225,503,503,503,27,""Same length"",70,75,""Ring finger"",January,Summer,Yes,No,Meat,Water,Other,8,3,6,""Yes - broadband connection"",""Myspace, Facebook, other social networking sites, or blog"",10,10,10,1,5,5,5,1,5,1,1,1,15,10,Some,""Some college"",""Rap/Hip hop"",""Freeze time"",Happy,""Sports person"",""International aid"""
"USA,NE,2013,""9         "",Male,14,Right-Handed,167,27,167,1,Car,15,19,46,Other,1000,1000,1000,1000,2,5,27,""Same length"",72,85,""Ring finger"",March,Winter,No,No,Meat,Milk,History,7,9,5,""Yes - broadband connection"",""Text messaging"",350,350,10,0,8,5,5,20,15,24,21,25,,10,""A lot"",""Graduate degree"",""Rap/Hip hop"",""Freeze time"",Happy,Relative,Health"
"USA,NE,2018,""12        "",Male,17,Right-Handed,187.9,35.56,187.9,1,Bus,30,0.506,55,Basketball,759,198,230,492,765,824,34,""Same length"",101.6,101.6,""Same length"",January,Winter,Yes,No,Meat,""Sports drink"",English,7,5,3,""Yes - broadband connection"",""Internet chat or instant messaging"",200,200,100,2,6,70,70,2,140,130,100,4,0,10,""Very little"",""Graduate degree"",""Rap/Hip hop"",Invisibility,Rich,Relative,Health"
"USA,NE,2017,""12        "",Male,17,Right-Handed,182,24,70,1,Car,20,.402,49,Soccer,7000,7000,7000,7000,0,1000,24,""Same length"",1700,1800,""Ring finger"",February,Fall,No,No,""Rice/Noodle dishes"",Milk,""Physical education"",6,8,3,""Yes - other"",""Text messaging"",100,120,16,1,5,4,8,8,10,20,2,7,15,5,Some,""Graduate degree"",""Rap/Hip hop"",Telepathy,Happy,""Coach or club leader"",""Wildlife, animals"""
"USA,NE,2018,""12        "",Female,17,Left-Handed,175,26,178,1,Car,10,0.371,40,Swimming,700,800,700,800,200,400,26,""Same length"",77,70,""Index finger"",March,Fall,No,No,Pizza/Pasta,Water,""Mathematics and statistics"",8,10,7,""Yes - broadband connection"",""Text messaging"",30,30,10,2,3,10,20,0,10,5,15,8,0,3,""Very little"",""Graduate degree"",""Rap/Hip hop"",Fly,Happy,""Sports person"",""Education/Youth development"""
"USA,NE,2018,""12        "",Male,18,Right-Handed,187,,,1,Car,12,.82,62,""Football (American)"",500,500,100,100,600,800,,,,,""Same length"",September,Winter,No,No,Pizza/Pasta,Water,Other,7,9,4,""Yes - broadband connection"",""Cell phone"",100,100,30,8,10,20,13,0,10,5,10,0,12,0,""Very little"",""Some college"",""Rap/Hip hop"",""Super strength"",Happy,""Musician or singer"",""Arts, culture, sports"""
"USA,NE,2018,""12        "",Female,16,Right-Handed,160.0,21,154.1,2,Bus,46,"" 0.48"",48,Soccer,487,818,401,406,610,1000,20,""Right foot"",61,70,""Ring finger"",January,Fall,Yes,No,Meat,Tea,Music,8,6,3,""Yes - broadband connection"",""Myspace, Facebook, other social networking sites, or blog"",109,170,0,0,2,24,0,0,24,6,28,36,0,22,Some,""Graduate degree"",""Rap/Hip hop"",Telepathy,Happy,Other,""International aid"""
"USA,NE,2018,""12        "",Female,17,Right-Handed,152.4,19.5,50,1,Car,10,0.661,54,Dancing,1000,800,800,800,800,1000,19.5,""Same length"",60,62,""Ring finger"",March,Summer,Yes,No,Seafood,Water,Music,6,9,8,""Yes - broadband connection"",""Cell phone"",18,319,12,3,21,7,14,7,28,7,14,0,0,7,Some,""High school"",Jazz,""Freeze time"",Rich,Other,""Wildlife, animals"""
"USA,NE,2014,""9         "",Female,14,Right-Handed,157.4,274.3,157.4,2,Car,15,0.835,48,Dancing,610,914,807,807,1000,513,274.3,""Same length"",70,70,""Same length"",April,Summer,Yes,No,""Rice/Noodle dishes"",Water,""Mathematics and statistics"",9,10,4,""Yes - other"",""Text messaging"",45,45,1,1,2,2,1,0,1,1,4,4,2,1,Some,Other,Pop,Telepathy,Happy,""Musician or singer"",""Education/Youth development"""
"USA,NE,2013,""9         "",Male,14,Left-Handed,154,22,158,2,Car,15,.503,43,Other,1000,1000,1000,1000,500,300,20,""Right foot"",45,40,""Index finger"",August,Summer,No,No,Pizza/Pasta,Water,Art,7,11,4,""Yes - other"",""In person"",0,0,0,0,10,5,10,0,2,0,8,4,0,3,Some,""Graduate degree"",""Rhythm and blues (R&B)"",Telepathy,Happy,Actor,Health"
"USA,NE,2017,""10        "",Male,16,Right-Handed,180,27,157,1,Car,30,.443,36,Other,503,503,0,251,503,503,27,""Same length"",730,700,""Ring finger"",February,Winter,Yes,No,Other,Water,Music,5,9,3,""No internet connection"",""Text messaging"",200,250,17.5,.5,1,0,15,5,1,20,45,2,4.5,2,Some,""Graduate degree"",Pop,""Freeze time"",Happy,Other,""Arts, culture, sports"""
"USA,NE,2013,""12        "",Female,17,Right-Handed,170,24,175,1,Car,20,.436,42,Dancing,636,770,679,770,738,952,22,""Left foot"",70,80,""Ring finger"",July,Summer,No,No,""Rice/Noodle dishes"",Water,""Social studies"",6,10,4,""Yes - broadband connection"",""In person"",150,150,10,3,8,6,2,0,6,10,7,10,0,4,""A lot"",""Graduate degree"",Other,Fly,Happy,Relative,""Education/Youth development"""
"USA,NE,2017,""10        "",Male,17,Ambidextrous,160,26,165,2,Car,10,0.403,57,Basketball,1000,1000,1000,1000,500,1000,26,""Same length"",60,70,""Ring finger"",March,Fall,Yes,No,""Rice/Noodle dishes"",Milk,Other,6,11,3,""Yes - other"",""Myspace, Facebook, other social networking sites, or blog"",365,366,8,3,36,14,7,0,62,72,62,0,14,7,""A lot"",""Less than high school"",""Rap/Hip hop"",Telepathy,Happy,""Musician or singer"",""Arts, culture, sports"""
"USA,NE,2014,""10        "",Female,16,Right-Handed,61.2,25,125,1,Car,8,0.46,33,Soccer,43,668,439,829,139,150,25,""Same length"",71,69,""Index finger"",March,Spring,Yes,No,Pizza/Pasta,Water,English,6,9,3,""Yes - other"",""Text messaging"",50,239,70,10,25,6,18,0,6,4,4,4,2,4,""A lot"",""Graduate degree"",""Rap/Hip hop"",Telepathy,Happy,""Community leader or elder"",Health"
"USA,NE,2014,""10        "",Female,14,Right-Handed,165,24,155,1,Car,2,.565,40,Dancing,500,600,500,400,600,950,24,""Same length"",80,83,""Ring finger"",April,Fall,No,No,Pizza/Pasta,Water,,7.5,11,6,""Yes - broadband connection"",""In person"",300,300,50,2,10,10,25,0,10,25,20,10,0,1,""A lot"",""Graduate degree"",Other,Invisibility,Healthy,Relative,Health"
"USA,NE,2017,""12        "",Female,17,Right-Handed,154,24,171,1,Car,4,.374,52,Athletics,700,700,700,700,700,700,24,""Same length"",9,8,""Index finger"",October,Fall,No,No,""Rice/Noodle dishes"",Water,Science,7,6,4,""Yes - other"",""Text messaging"",30,50,40,15,20,40,30,3,3,10,5,5,12,4,""A lot"",""Graduate degree"",Pop,Telepathy,Healthy,""Doctor or nurse"",""Education/Youth development"""
"USA,NE,2019,""12        "",Female,17,Right-Handed,162.5,25,200,2,Car,30,0.728,44,Walking/Hiking,1000,999,998,997,996,995,25,""Same length"",25,30,""Ring finger"",August,Summer,Yes,Yes,Pizza/Pasta,Water,English,6,8,4,""Yes - broadband connection"",""Text messaging"",50,60,20,1,30,1,4,10,4,20,40,1,20,15,""A lot"",""Graduate degree"",Pop,""Freeze time"",Rich,Other,""Wildlife, animals"""
"USA,NE,2017,""10        "",Female,16,Right-Handed,65,25.4,66,1,Car,7,"".411 "",41,Baseball/Softball,400,500,700,750,800,800,25.4,""Same length"",63.5,65,""Ring finger"",November,Summer,No,No,Pizza/Pasta,""Soft drink (caffeinated)"",""Physical education"",7,11,4,""Yes - broadband connection"",""In person"",70,200,10,3,7,2,27,0,""10 "",5,50,5,0,1,Some,""Graduate degree"",Country,Fly,Famous,Relative,Health"
"USA,NE,2018,""9         "",Female,14,Right-Handed,5.2,23,64,2,Car,5,.423,35,Soccer,600,20,500,800,50,200,22,""Right foot"",7.0,7.0,""Same length"",June,Fall,No,No,""No favorite"",Water,""Mathematics and statistics"",9,10,6,""Yes - broadband connection"",""Myspace, Facebook, other social networking sites, or blog"",10,20,3,0,2,5,0,0,3,1,6,1,8,2,""Very little"",""Graduate degree"",""Rap/Hip hop"",Telepathy,Famous,Relative,Health"
"USA,NE,2019,""12        "",Female,17,Left-Handed,162.2,24,166,2,Car,6,.66,40,Golf,1000,1000,900,900,700,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"USA,NE,2014,""10        "",Male,16,Right-Handed,182,22,182,2,Car,15,.176,52,Golf,600,400,600,300,950,1000,22,""Same length"",635,533,""Index finger"",July,Summer,Yes,No,Breads/Sandwiches,Tea,""Physical education"",6,10,3,""Yes - broadband connection"",""Text messaging"",170,160,6,,,,,,,,,,,,,,,,,,"
"USA,NE,2017,""11        "",Female,18,Right-Handed,178,26,180,1,Car,10,0.428,48,Baseball/Softball,701,850,695,310,503,508,26,""Same length"",100,80,""Index finger"",January,Summer,Yes,No,Desserts,Water,Science,7,7,4,""Yes - broadband connection"",""Text messaging"",50,75,10,1,15,10,10,1,4,2,3,2,1,2,Some,""Undergraduate degree"",Country,Telepathy,Happy,Friend,Health"
"USA,NE,2021,""7         "",Female,12,Right-Handed,149.8,25,172,1,Bus,15,0.382,72,Baseball/Softball,200,824,561,738,75,283,25,""Same length"",74,72,""Index finger"",March,Summer,No,No,""Rice/Noodle dishes"",Water,History,5,5,3,""Yes - broadband connection"",""In person"",20,15,30,10,10,10,5,0,42,50,40,3,0,""5 1/2"",Some,""Graduate degree"",""Rap/Hip hop"",Telepathy,Famous,Relative,Health"
"USA,NE,2017,""12        "",Male,17,Right-Handed,171,27,189,1,Car,6,.36,68,Basketball,600,800,900,500,700,1000,27,""Same length"",88,88,""Same length"",October,Fall,No,No,Meat,Water,History,7,6,5,""Yes - broadband connection"",""Text messaging"",100,100,10,1,6,15,20,5,2,2,1,4,0,2,Some,""Undergraduate degree"",""Rap/Hip hop"",Fly,Happy,""Sports person"",""International aid"""
"USA,NE,2017,""10        "",Male,16,Right-Handed,132.3,20.32,23,2,Car,""10 "",300,234,Soccer,100,1000,1000,1000,999,999,20.32,""Same length"",112,112,""Ring finger"",November,Winter,No,No,Pizza/Pasta,Water,Languages,7,8,10,""Yes - broadband connection"",E-mail,3,7,1,10,9,1,3,1,4,5,,,,,Some,""Less than high school"",""Rap/Hip hop"",""Super strength"",Rich,""Sports person"",Environment"
"USA,NE,2014,""9         "",Female,15,Right-Handed,177.8,25,164,2,Car,7,0.563,49,Soccer,412,545,749,722,310,410,24.5,""Right foot"",6.35,7.62,""Ring finger"",June,Summer,Yes,No,Meat,Water,Art,7,6,3,""Yes - other"",""Internet chat or instant messaging"",27,30,11,2,7,5,4,1,8,8,8,7,0,4,Some,""Graduate degree"",Pop,""Freeze time"",Happy,""Doctor or nurse"",Environment"
"USA,NE,2023,""12        "",Female,18,Right-Handed,165,25,160,1,Car,30,0.412,61,Walking/Hiking,900,800,800,900,100,200,25,""Same length"",80.5,80,""Index finger"",July,Summer,No,No,""Rice/Noodle dishes"",Water,Science,7,10,7,""Yes - other"",""In person"",10,20,10,1,20,5,18,0,10,2,1,7,13,2,Some,""Graduate degree"",""Rock and roll"",Fly,Happy,""Musician or singer"",Environment"
"USA,NE,2013,""9         "",Female,15,Right-Handed,62,20.5,157,2,Car,10,0.595,83,Other,439,300,583,818,112,880,21,""Left foot"",60,63,""Ring finger"",June,Summer,Yes,No,Meat,Water,Other,7,12,5,""No internet connection"",""Text messaging"",347,350,50,0,70,10,20,0,15,90,2,0,10,6,""A lot"",""Graduate degree"",""Rap/Hip hop"",Invisibility,Happy,Relative,""International aid"""
"USA,NE,2013,""11        "",Male,17,Right-Handed,179,27,179,1,Car,2,1.009,66,Golf,,,,,,,27,""Same length"",80,80,""Same length"",June,Spring,Yes,No,Meat,""Sports drink"",Other,7,11,6,""Yes - broadband connection"",""Text messaging"",1000,1000,168,100,85,130,160,70,160,168,90,168,0,100,""A lot"",""Graduate degree"",Other,""Super strength"",Happy,Relative,Health"
"USA,NE,2014,""9         "",Male,14,Right-Handed,167,20,150,1,Car,8,.151,,""Football (American)"",100,100,0,300,500,700,19,""Right foot"",30,32,""Ring finger"",January,Summer,No,Yes,""Rice/Noodle dishes"",""Sports drink"",History,8,12,5,""Yes - broadband connection"",""Text messaging"",70,80,7,1,6,4,8,2,4,7,7,5,1,4,Some,""Graduate degree"",Other,Telepathy,Rich,""Coach or club leader"",""Arts, culture, sports"""
"USA,NE,2012,""6         "",Male,11,Right-Handed,144,24,147,1,Bus,10,.37,34,""Football (American)"",1,3,4,2,5,6,24,""Same length"",8,8.5,""Ring finger"",June,Summer,No,No,Meat,""Sports drink"",""Physical education"",10,7,5,""Yes - dial-up connection"",""Text messaging"",50,59,""2 "",1,1,2,3,1,1,3,1,1,0,1,Some,""Undergraduate degree"",Country,""Super strength"",Famous,""Sports person"",""Arts, culture, sports"""
"USA,NE,2012,""9         "",Male,14,Right-Handed,164.5,26.1,158,1,Car,13,0.645,68,Walking/Hiking,385,123,27,139,642,727,26,""Right foot"",74,74,""Same length"",June,Summer,Yes,No,Pizza/Pasta,Water,""Mathematics and statistics"",8,10,5,""Yes - broadband connection"",""Text messaging"",20,20,30,1,4,8,13,19,15,10,30,22,3,23,""Very little"",""Graduate degree"",""Rap/Hip hop"",Fly,Rich,""Doctor or nurse"",""Wildlife, animals"""
"USA,NE,2013,""9         "",Female,14,Ambidextrous,188,23,188,2,Car,12,0.458,33,Other,100,100,150,300,200,400,24,""Left foot"",9.5,8,""Index finger"",May,Fall,No,No,""Rice/Noodle dishes"",Water,English,7,9,4,""Yes - broadband connection"",""Text messaging"",250,275,15,5,25,20,50,0,43,30,40,5,5,5,""A lot"",""Graduate degree"",Country,""Freeze time"",Happy,Relative,""Wildlife, animals"""
"USA,NE,2013,""9         "",Male,15,Right-Handed,164,23,169,1,Car,10,0.4,44,Basketball,0,32,102,37,1000,1000,24,""Left foot"",70,90,""Ring finger"",October,Summer,No,No,Meat,""Soft drink (caffeinated)"",History,6,12,5,""Yes - other"",""Text messaging"",3,3,5,1,2,3,4,8,1,2,8,4,0,0,Some,""Graduate degree"",""Rap/Hip hop"",Telepathy,Rich,""Sports person"",Health"
"USA,NE,2019,""12        "",Female,17,Right-Handed,162,24,159.7,2,Car,15,0.526,46,None,508,615,503,786,1000,1000,24,""Same length"",70,72,""Ring finger"",October,Summer,Yes,No,Pizza/Pasta,Water,English,6,9,6,""Yes - broadband connection"",""Text messaging"",20,18,4,2,4,4,0,3,6,6,6,2,0,4,Some,""Graduate degree"",""Rap/Hip hop"",Invisibility,Rich,""Business person"",Health"
"USA,NE,2018,""9         "",Female,15,Left-Handed,157.4,24.13,157.4,2,Car,10,0.394,35,Other,1000,412,717,545,102,283,24.13,""Same length"",71.12,73.66,""Ring finger"",October,Fall,No,No,Seafood,Water,History,7,10,3,""Yes - broadband connection"",""In person"",115,140,32,2,18,26,6,1,10,12,5,10,2,7,""Very little"",""Graduate degree"",Pop,Telepathy,Rich,Relative,""Arts, culture, sports"""
"USA,NE,2018,""12        "",Female,17,Right-Handed,152.4,23,152,1,Car,11,0.569,45,Swimming,800,800,700,600,300,700,23,""Same length"",8.1,7.1,""Index finger"",May,Summer,No,No,Pizza/Pasta,Water,Music,6,8,4,""Yes - other"",""In person"",50,50,12,1,7,,,,,,,,,,,,,,,,"
"USA,NE,2017,""12        "",Male,17,Right-Handed,161,28,186,1,Car,7,.387,44,Baseball/Softball,500,500,500,500,1000,1000,28,""Same length"",85,80,""Index finger"",January,Fall,Yes,No,Poultry,Water,""Physical education"",7,8,3,""Yes - other"",""Text messaging"",400,401,30,3,7,10,28,10,10,10,10,5,0,3,Some,""Graduate degree"",""Rap/Hip hop"",Fly,Rich,""Sports person"",""Arts, culture, sports"""
"USA,NE,2017,""10        "",Male,17,Right-Handed,182.9,24,177,1,Car,15,.285,42,""Hockey (Ice)"",100,50,200,200,500,900,23.5,""Right foot"",78,84,""Index finger"",August,Summer,No,No,Meat,Water,History,7,9.5,5,""Yes - broadband connection"",""Text messaging"",300,300,35,21,7,6,35,0,7,10,15,9,0,1,Some,""Undergraduate degree"",""Rap/Hip hop"",Invisibility,Happy,Relative,Health"
"USA,NE,2018,""9         "",Female,14,Right-Handed,5.6,9,68,2,Car,7,0.463,34,Dancing,487,294,476,749,583,738,9,""Right foot"",2.9,2.12,""Ring finger"",June,Summer,No,No,Other,Juice,Other,9,7,5,""Yes - other"",""Cell phone"",20,20,9,3,1,7,4,0,5,6,2,4,0,6,Some,Other,Other,Telepathy,Happy,Other,Health"
"USA,NE,2014,""9         "",Male,15,Right-Handed,68,268.2,17.83,1,Car,20,0.56,73,None,600,500,600,100,1000,1000,268.2,""Same length"",75,75,""Same length"",November,Spring,Yes,No,Poultry,Water,English,6,9.5,4,""Yes - broadband connection"",""In person"",0,0,4,1,5,0.5,0,25,25,20,20,20,0,0.5,Some,""Some college"",Pop,Telepathy,Happy,Actor,Health"
"USA,NE,2018,""12        "",Female,17,Right-Handed,152.4,22.86,55,2,Car,20,0.375,37,Soccer,1000,1000,1000,1000,400,700,23.5,""Left foot"",177.8,190.5,""Ring finger"",December,Fall,No,No,Other,Water,Other,6,8,3,""Yes - broadband connection"",""Text messaging"",70,70,10,15,6,6,7,1,10,15,5,6,15,5,Some,""Graduate degree"",Other,Telepathy,Happy,Relative,""Wildlife, animals"""
"USA,NE,2017,""10        "",Male,14,Right-Handed,175,26,175,3,Car,20,0.355,50,Basketball,900,950,1000,1000,900,900,25,""Right foot"",850,830,""Index finger"",March,Summer,No,No,""Rice/Noodle dishes"",Milk,,7,8.5,3,""Yes - other"",""Internet chat or instant messaging"",10,99,1,4,3,2,2,3,2,5,6,2,0,2,""A lot"",Other,""Rhythm and blues (R&B)"",""Freeze time"",,Actor,""International aid"""
"USA,NE,2013,""11        "",Female,15,Right-Handed,166,26,149,1,Car,15,0.501,45,None,400,0,200,200,1000,1000,24,""Right foot"",90,80,""Index finger"",September,Fall,Yes,No,Desserts,Tea,English,6,10,5,""Yes - broadband connection"",""Text messaging"",3,3,30,2,18,1,0,0,21,168,20,3,0,3,""A lot"",""Graduate degree"",Country,Fly,Happy,Friend,""International aid"""
"USA,NE,2013,""9         "",Male,15,Ambidextrous,159,27,170,2,Car,3,0.195,58,Baseball/Softball,387,1000,1000,620,100,490,27,""Same length"",80.5,90.3,""Index finger"",October,Winter,No,No,Poultry,Tea,""Physical education"",10,12,6,""Yes - broadband connection"",""Internet chat or instant messaging"",0,0,27,19,2,19,9,1,8,16,4,8,0,0,Some,""Graduate degree"",Country,""Super strength"",Famous,""Sports person"",""Wildlife, animals"""
"USA,NE,2018,""12        "",Female,17,Right-Handed,,,,1,Car,15,0.461,46,Tennis,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"USA,NE,2018,""9         "",Female,15,Right-Handed,158.4,23.5,152.4,2,Bus,20,0.421,42,Athletics,200,400,100,400,800,1000,23,""Right foot"",100,62,""Same length"",December,Winter,No,No,Meat,Water,Science,3,11,8,""Yes - dial-up connection"",""Myspace, Facebook, other social networking sites, or blog"",1200,2000,1,8,1,8,12,0,24,24,2,1,0,5,""A lot"",""Graduate degree"",""Rap/Hip hop"",""Super strength"",Rich,""Coach or club leader"",""International aid"""
"USA,NE,2017,""12        "",Male,17,Right-Handed,186,25,169,1,Car,6,.676,56,""Football (American)"",300,300,300,300,900,900,25,""Same length"",8,7,""Index finger"",July,Fall,Yes,No,Meat,""Sports drink"",Other,6.5,8,6,""Yes - other"",""Cell phone"",150,150,10,2,10,7,14,1,10,8,6,4,10,2,Some,""Graduate degree"",""Rap/Hip hop"",Telepathy,Happy,""Sports person"",""Wildlife, animals"""
"USA,NE,2023,""12        "",Female,17,Right-Handed,158,,,2,Car,24,.362,35,Soccer,70,70,70,70,50,60,,,,,,August,Summer,Yes,No,Meat,Water,""Physical education"",7,8,6,""Yes - broadband connection"",""Text messaging"",8,10,8,0,5,8,10,0,4,1,1,4,7,2,Some,""Graduate degree"",Country,Fly,Happy,""Sports person"",""International aid"""
"USA,NE,2017,""10        "",Male,16,Right-Handed,134.6,20.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"USA,NE,2012,""11        "",Female,15,Right-Handed,152.4,22,150,1,Car,3,.702,40,Baseball/Softball,722,850,572,255,930,979,23,""Left foot"",75,65,""Index finger"",June,Fall,Yes,No,Poultry,Tea,""Mathematics and statistics"",7,10,3,""Yes - other"",""Text messaging"",40,35,65,1,12,10,15,3,40,100,85,5,0,2,""A lot"",""Graduate degree"",Country,""Freeze time"",Rich,Relative,Religious"
"USA,NE,2021,""7         "",Male,13,Right-Handed,155,24,150,1,Bus,33,0.081,42,Basketball,166,102,930,299,1000,1000,24,""Same length"",70,75,""Ring finger"",April,Summer,No,No,Meat,Water,""Physical education"",8,6,4,""Yes - other"",""Text messaging"",2,1,40,1,5,2,12,1,40,3,0,35,20,15,""A lot"",""Graduate degree"",Country,Invisibility,Happy,Other,Health"
