Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
"USA,NE,2013,""9         "",Female,14,Right-Handed,170,21.2,168,1,Car,15,.427,44,Dancing,1000,807,1000,1000,471,1000,23.3,""Left foot"",75,80,""Ring finger"",January,Summer,Yes,No,Meat,Juice,Science,8,10,6,""Yes - broadband connection"",""Text messaging"",10,15,77,0,15,5,6,0,4,4,27,6,4,3,""A lot"",""Graduate degree"",Country,Telepathy,Happy,Relative,Health"
"USA,NE,2019,""12        "",Female,17,Right-Handed,160,23,159,1,Car,20,.364,84,Swimming,950,800,1000,850,700,650,61,,61,59,""Index finger"",June,Fall,No,No,Pizza/Pasta,Water,English,6,9,4,""Yes - broadband connection"",""Text messaging"",50,100,5,1,10,10,5,0,10,3,20,1,10,5,Some,""Graduate degree"",Pop,""Freeze time"",Happy,Relative,""Education/Youth development"""
"USA,NE,2019,""12        "",Male,17,Right-Handed,204,31,213,2,Car,16,0.417,53,Basketball,200,750,600,800,400,1000,31,""Right foot"",84,85,""Same length"",October,Winter,No,No,Pizza/Pasta,Water,""Physical education"",6,8,7,""Yes - broadband connection"",""Text messaging"",50,50,4,2,2,4,18,12,24,24,24,4,7,40,""Very little"",""Graduate degree"",""Rap/Hip hop"",Fly,Rich,""Sports person"",""International aid"""
"USA,NE,2014,""10        "",Male,16,Left-Handed,172,26,170,1,Car,10,0.396,54,""Hockey (Ice)"",535,471,791,711,647,920,170,""Same length"",55,55,""Same length"",February,Summer,Yes,No,Seafood,Water,Other,8,9,5,""Yes - broadband connection"",""Text messaging"",200,200,7,7,7,7,7,7,7,7,7,7,0,0,""A lot"",""Graduate degree"",Other,Telepathy,Rich,""Sports person"",Health"
"USA,NE,2018,""12        "",Female,18,Right-Handed,,,,1,Car,18,.57,81,Baseball/Softball,700,500,1000,500,1000,1000,,,,,,July,Fall,Yes,No,Meat,Water,""Mathematics and statistics"",6,9,3,""Yes - broadband connection"",""Text messaging"",100,30,32,2,15,2,5,3,32,164,164,2,25,15,""A lot"",""Graduate degree"",Country,Telepathy,Rich,""Religious figure"",""International aid"""
"USA,NE,2013,""12        "",Male,17,Right-Handed,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"USA,NE,2019,""11        "",Male,18,Right-Handed,187,35,194,2,Car,""2 min"",0.3,46,Other,0,0,0,0,500,500,35,""Same length"",,,""Same length"",October,Summer,No,No,Meat,Water,Other,4,2,5,""Yes - other"",""Cell phone"",7,100,6,.2,2,10,15,6,4,2,1,0,20-30,4,Some,""Graduate degree"",Country,Invisibility,,""Sports person"",Religious"
"USA,NE,2017,""10        "",Female,17,Right-Handed,154,25,150,1,Car,14,.439,42,Gymnastics,500,400,600,400,100,100,25,""Same length"",60,50,""Ring finger"",October,Fall,Yes,No,Pizza/Pasta,Milk,Science,5,9,4,""Yes - other"",""Internet chat or instant messaging"",60,200,80,15,20,50,50,0,25,85,90,10,20,15,Some,""Graduate degree"",Country,Telepathy,Happy,Relative,Other"
"USA,NE,2014,""9         "",Male,14,Right-Handed,5.8,9,""5.5 "",2,Car,2,1.808,39,Soccer,500,700,700,900,200,200,25,""Same length"",3,3,""Ring finger"",July,Summer,No,No,Salads,""Sports drink"",Languages,9,8,3,""Yes - dial-up connection"",""Text messaging"",7,7,2,1,2,4,3,.10,.10,.30,.30,2,1,3,Some,""Graduate degree"",""Rap/Hip hop"",""Freeze time"",Famous,""Sports person"",""International aid"""
"USA,NE,2017,""11        "",Female,18,Right-Handed,173,25,181,1,Car,8,.334,37,Walking/Hiking,1000,711,497,583,278,604,23.5,""Right foot"",97,96,""Index finger"",January,Summer,No,No,Desserts,Water,Languages,7,9,4,""Yes - broadband connection"",""In person"",38,56,4,0,1,6,0,20,30,10,60,10,20,4,""A lot"",Other,""Punk rock"",""Freeze time"",Happy,Other,Environment"
"USA,NE,2017,""12        "",Female,17,Right-Handed,163,25.8,183,1,Car,9,.412,50,Swimming,300,400,100,300,700,900,25.5,""Right foot"",8.4,9.6,""Ring finger"",August,Fall,No,No,Meat,Water,Science,8,6.5,6,""Yes - other"",""Text messaging"",40,35,15,.5,6,10,15,0,4,2,10,13,14,2,Some,""Graduate degree"",Country,Telepathy,Happy,""Sports person"",""International aid"""
"USA,NE,2019,""11        "",Male,17,Right-Handed,193,31,190,1,Car,6,.363,41,Other,64,657,0,0,10000,10000,31,""Same length"",,,""Index finger"",April,Fall,Yes,No,Pizza/Pasta,Water,Other,4,3,4,""Yes - other"",""In person"",100,100,5,0,3,4,1,40,5,2,40,2,20,2,""Very little"",""Graduate degree"",Country,""Freeze time"",Happy,""Business person"",Environment"
"USA,NE,2014,""10        "",Male,15,Left-Handed,,,,,,,,,Soccer,600,500,500,800,900,1000,,""Right foot"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"USA,NE,2018,""12        "",Male,16,Right-Handed,172,26,173,2,Car,10,0.6,31,Soccer,800,800,1000,1000,500,700,26,""Same length"",152,152,""Same length"",August,Summer,No,No,""No favorite"",Water,""Physical education"",8,12,6,""Yes - dial-up connection"",""In person"",20,30,10,0,0,5,21,3,10,5,10,0,16,2,None,""Graduate degree"",""Rap/Hip hop"",Invisibility,Rich,""Sports person"",""Education/Youth development"""
"USA,NE,2012,""11        "",Male,18,Right-Handed,72,30,72,1,Car,10,.417,34,""Football (American)"",1000,250,345,500,100,50,29,""Right foot"",70,72,""Ring finger"",April,Summer,No,No,Pizza/Pasta,Other,Science,7,10,6,""Yes - broadband connection"",""In person"",100,101,30,,,,,,,,,,,,,,,,,,"
"USA,NE,2016,""12        "",Male,17,Right-Handed,,,,2,Car,,,,""Football (American)"",,,,,,,,""Same length"",,,,April,Fall,Yes,No,Meat,Water,History,,,,""Yes - broadband connection"",""In person"",,,,,,,,,,,,,,,Some,""Graduate degree"",""Rap/Hip hop"",Invisibility,Happy,Friend,Health"
"USA,NE,2017,""12        "",Female,17,Right-Handed,153,22.5,167,1,Car,10,0.465,36,Dancing,925,471,626,636,856,856,23,""Left foot"",80,67,""Index finger"",September,Spring,No,No,Pizza/Pasta,Water,Art,6,8,3,""Yes - broadband connection"",""Text messaging"",31,34,15,1,8,2,8,10,10,5,30,4,10,2,""A lot"",""Graduate degree"",Other,Telepathy,Happy,""Musician or singer"",""International aid"""
"USA,NE,2018,""11        "",Male,18,Right-Handed,169,9.5,159,1,Car,5,0.435,81,Basketball,503,508,636,600,636,995,9,""Right foot"",76,70,""Index finger"",November,Summer,Yes,No,Pizza/Pasta,Tea,""Physical education"",7,10,3,""Yes - other"",,6,6,25,1,1,30,10,15,30,20,30,15,0,2,Some,""Undergraduate degree"",""Rap/Hip hop"",Invisibility,Rich,Relative,Health"
"USA,NE,2018,""9         "",Female,15,Right-Handed,165.1,23,172.7,2,Car,25,05.55,37,Basketball,800,900,1000,1000,500,1000,24,""Left foot"",70,80,""Ring finger"",January,Summer,Yes,No,Salads,Water,Other,8,10,5,""Yes - broadband connection"",""Myspace, Facebook, other social networking sites, or blog"",300,500,50,5,25,50,20,2,70,50,70,20,1,10,Some,""Graduate degree"",""Rap/Hip hop"",""Freeze time"",Healthy,""Sports person"",Health"
"USA,NE,2014,""10        "",Female,17,Right-Handed,160,23,156,1,Car,14,0.452,41,Walking/Hiking,1000,1000,1000,750,225,500,23,""Same length"",63.5,54.6,""Index finger"",August,Spring,No,No,Meat,""Soft drink (caffeinated)"",""Mathematics and statistics"",6,11,6,""Yes - broadband connection"",""Text messaging"",8,8,3,0,78,5,0,8,12,4,64,0,0,2,""A lot"",""Graduate degree"",Other,Telepathy,Happy,Relative,Health"
"USA,NE,2018,""9         "",Female,15,Right-Handed,15,,,2,Car,7,0.471,42,None,0,0,0,0,0,0,35,""Left foot"",63.5,76.2,""Ring finger"",April,Fall,No,No,Meat,Water,Other,7,10,7,""Yes - other"",""In person"",2,5,0,6,0,105,5,0,35,21,21,7,0,10,""A lot"",""Some college"",""Rap/Hip hop"",Telepathy,Happy,Relative,""Wildlife, animals"""
"USA,NE,2014,""10        "",Male,16,Right-Handed,172,28,167,2,Car,12,0.333,45,Baseball/Softball,400,400,400,400,100,100,26,""Left foot"",80,70,""Index finger"",April,Fall,Yes,No,Meat,""Sports drink"",""Physical education"",8,13,8,""Yes - dial-up connection"",""Cell phone"",45,83,20,1,5,20,20,0,5,2,3,6,2,2,Some,""Graduate degree"",""Rap/Hip hop"",Telepathy,Happy,""Coach or club leader"",Other"
"USA,NE,2014,""9         "",Male,15,Right-Handed,165.7,18,200,1,Car,20,1.974,70,Soccer,0,0,0,0,1000,1000,,""Right foot"",,,""Ring finger"",October,Summer,Yes,No,Pizza/Pasta,""Sports drink"",History,,,3,""Yes - broadband connection"",""Text messaging"",1000,1001,12,11,10,9,8,7,6,5,4,3,2,1,""Very little"",""Graduate degree"",""Rap/Hip hop"",Telepathy,Healthy,""Sports person"",""Wildlife, animals"""
"USA,NE,2017,""12        "",Male,17,Right-Handed,162,28,186,1,Car,10,.35,49,Baseball/Softball,781,740,139,380,0,1000,28,""Same length"",9,10,""Ring finger"",February,Summer,No,No,Pizza/Pasta,Water,,8,11,5,""Yes - broadband connection"",""Text messaging"",50,45,50,1,7,15,8,2,2,20,150,3,0,0,None,""Graduate degree"",""Rap/Hip hop"",Telepathy,Happy,""Sports person"",""International aid"""
"USA,NE,2012,""11        "",Male,15,Left-Handed,516,27,121,1,Car,15,.37,52,Other,1000,700,700,800,500,500,28,""Left foot"",73,83,,May,Spring,Yes,No,Pizza/Pasta,""Energy drink"",Science,7,9,4,""Yes - broadband connection"",""Internet chat or instant messaging"",20,20,5,2,6,30,4,19,10,1,24,3,0,3,""A lot"",""Graduate degree"",Jazz,""Super strength"",Happy,""Business person"",""International aid"""
"USA,NE,2018,""12        "",Male,17,Right-Handed,185,28.3,188,1,Car,8,0.541,51,""Football (American)"",500,500,500,500,500,500,26,""Same length"",80,77,""Index finger"",February,Fall,No,No,Meat,Water,Other,7,9,3,""Yes - other"",""Cell phone"",50,50,7,2,3,10,8,3,2,168,4,10,0,0,None,Other,""Rap/Hip hop"",""Super strength"",Rich,Relative,""International aid"""
"USA,NE,2012,""11        "",Male,16,Ambidextrous,178,25,175,1,Car,10,.811,42,Golf,10,0,200,600,100,100,25,""Same length"",76,76,""Same length"",November,Fall,Yes,No,Meat,Coffee,""Physical education"",8,6,3,""Yes - broadband connection"",""In person"",10,9,10,1,6,15,12,0,1,1,4,5,0,2,""A lot"",""Graduate degree"",""Rap/Hip hop"",Telepathy,Happy,""Musician or singer"",""Arts, culture, sports"""
"USA,NE,2013,""9         "",Female,14,Right-Handed,156,23,153,2,Car,25,.34,41,Other,500,600,400,400,700,600,22,""Right foot"",70,60,""Index finger"",May,Fall,Yes,No,Pizza/Pasta,,Art,7,11,2,""Yes - broadband connection"",""Text messaging"",400,400,8,1,1,12,0,3,8,14,8,4,0,2,Some,""Undergraduate degree"",Pop,Fly,Happy,Relative,""International aid"""
"USA,NE,2018,""9         "",Female,14,Right-Handed,154.9,23,162.5,2,Car,20,0.366,39,Other,500,500,450,450,1000,1000,21,""Right foot"",69,65,""Index finger"",May,Spring,Yes,No,Meat,Water,""Physical education"",7,12,4,""Yes - broadband connection"",""Text messaging"",50,75,5,1,5,10,0,0,100,20,45,20,0,2,Some,""Graduate degree"",""Rap/Hip hop"",Invisibility,Happy,Relative,Health"
"USA,NE,2018,""11        "",Female,17,Right-Handed,167,28,170,1,Car,10,.405,53,Walking/Hiking,1000,900,900,1000,700,700,28,""Same length"",,,,January,Fall,Yes,No,Pizza/Pasta,Water,English,6,10,5,""Yes - other"",""Text messaging"",10,13,8,1,7,10,2,1,12,12,12,4,0,1,""A lot"",""Graduate degree"",""Rap/Hip hop"",Telepathy,Happy,Actor,""Wildlife, animals"""
"USA,NE,2013,""9         "",Female,14,Right-Handed,167,23,167,1,Car,10,.312,38,Athletics,600,300,800,700,999,1000,23,""Same length"",63,69,""Ring finger"",November,Fall,Yes,No,Breads/Sandwiches,Juice,""Physical education"",6,9,5,""Yes - other"",""Text messaging"",94,97,120,1,5,48,23,15,16,30,30,26,6,2,Some,""Graduate degree"",Country,Fly,Famous,""Musician or singer"",""International aid"""
"USA,NE,2017,""12        "",Male,16,Right-Handed,165.1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"USA,NE,2014,""9         "",Male,17,Right-Handed,6.4,26,11,2,Car,10,,,None,10,10,100,10,25,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"USA,NE,2017,""12        "",Female,18,Right-Handed,155,25,179,1,Car,6,.41,30,Tennis,64,53,59,59,1000,1000,26,""Left foot"",85,65,""Index finger"",October,Fall,No,No,Meat,""Soft drink (non-caffeinated)"",Science,8,8,4,""Yes - broadband connection"",""Text messaging"",100,100,8,16,0,15,0,0,20,30,28,36,0,19,None,""Graduate degree"",Pop,Fly,Happy,""Business person"",Health"
"USA,NE,2017,""12        "",Female,17,Right-Handed,155,25,176,1,Car,7,.386,51,Tennis,100,500,200,800,1000,1000,25,""Right foot"",85,85,""Ring finger"",February,Fall,No,No,Salads,Water,""Mathematics and statistics"",8,10,5,""Yes - broadband connection"",""In person"",200,220,20,2,5,10,15,0,18,14,5,4,10,2,""A lot"",""Undergraduate degree"",Pop,Invisibility,Famous,Friend,Health"
"USA,NE,2017,""10        "",Female,14,Right-Handed,154.9,21.59,158.8,1,Car,40,.45,42,""Table Tennis"",428,182,428,11,668,668,22.23,""Left foot"",6.99,6.35,""Index finger"",July,Fall,Yes,No,Pizza/Pasta,Milk,""Mathematics and statistics"",7.5,10,4,""Yes - broadband connection"",Other,8,6,10,0,2.5,28,4,10.5,7,1,28,14,0,7,""A lot"",""Graduate degree"",Techno/Electronic,Fly,Happy,""Business person"",Religious"
"USA,NE,2019,""12        "",Female,17,Right-Handed,154,9,150.4,2,Car,12,0.545,49,Soccer,1000,1000,1000,1000,800,800,9,""Same length"",66,64,""Index finger"",March,Spring,No,No,Fruit,Water,""Mathematics and statistics"",7,10,6,""Yes - broadband connection"",""Text messaging"",1000,1066,9,3,2,9,1,0,7,7,8,6,29,4,Some,""Graduate degree"",""Rap/Hip hop"",Telepathy,Happy,""Doctor or nurse"",Environment"
"USA,NE,2012,""9         "",Male,14,Right-Handed,178,28,173,2,Car,4,0.311,46,Bowling,1000,684,636,754,1000,1000,28,""Same length"",80,89,""Ring finger"",January,Winter,No,No,""Rice/Noodle dishes"",""Soft drink (caffeinated)"",""Mathematics and statistics"",5,9,3,""Yes - broadband connection"",""Myspace, Facebook, other social networking sites, or blog"",4,5,40,3,10,8,0,60,5,1,6,6,0,1,Some,""Graduate degree"",Pop,Invisibility,Happy,Relative,""Education/Youth development"""
"USA,NE,2012,""11        "",Female,""15 "",Left-Handed,""66 "",24,""150 "",1,Car,10,0.359,""36 "",Basketball,""439 "",""551 "",""364 "",""364 "",770,""791 "",""24 "",""Same length"",""71 "",""68 "",""Index finger"",November,Fall,Yes,No,Pizza/Pasta,Water,History,""8 "",""7 "",""5 "",""Yes - other"",""Text messaging"",""40 "",""35 "",""65 "",""1 "",""13 "",10,""12 "",""2 "",""50 "",100,90,""7 "",0,5,Some,""Graduate degree"",Country,Fly,Rich,Relative,""Wildlife, animals"""
"USA,NE,2018,""12        "",Male,17,Right-Handed,161.5,23.8,152,2,Car,10,0.307,44,Soccer,10,10,10,100,1000,1000,23.8,""Same length"",80,90,,February,Winter,No,No,Pizza/Pasta,Water,Science,7,10,4,""Yes - broadband connection"",""Text messaging"",20,20,2,1,7,14,1,21,20,15,7,3,0,5,""Very little"",""Graduate degree"",Pop,Invisibility,Rich,Relative,Religious"
"USA,NE,2012,""9         "",Male,14,Right-Handed,168,27,166,1,Car,12,0.426,50,Baseball/Softball,700,600,800,500,700,700,27,""Same length"",90,100,""Ring finger"",April,Spring,No,No,Meat,""Sports drink"",""Mathematics and statistics"",7,10,4,""Yes - broadband connection"",""Text messaging"",50,70,8,1,5,6,6,1,1,5,1,1,0,2,""Very little"",""Graduate degree"",Country,Fly,Healthy,""Sports person"",Health"
"USA,NE,2019,""11        "",Male,17,Ambidextrous,177,29.5,168,1,Car,20,.278,37,Other,100,100,100,100,1,100,,,,,,June,Summer,No,No,Breads/Sandwiches,Tea,""Physical education"",0,4,2,""Yes - broadband connection"",""Cell phone"",30,30,31,2,1,1,10,35,40,10,100,0,40,1,Some,""Graduate degree"",Reggae,Fly,Famous,""Doctor or nurse"",""Arts, culture, sports"""
"USA,NE,2014,""10        "",Male,17,Right-Handed,184,27,173,1,Car,10,.353,64,Baseball/Softball,100,500,250,500,10000,10000,27,""Same length"",8,7,""Index finger"",May,Summer,No,No,Meat,""Sports drink"",Science,8,4,7,""Yes - other"",""Text messaging"",70000,70000,72,72,72,72,72,72,72,72,72,72,72,27,Some,""Graduate degree"",Country,Invisibility,Rich,Friend,""Arts, culture, sports"""
"USA,NE,2012,""9         "",Female,15,Right-Handed,164,25,161,1,Car,5,0.365,38,None,100,0,79,0,1000,1000,23,""Right foot"",70,70,""Same length"",October,Fall,No,No,Meat,""Soft drink (caffeinated)"",""Mathematics and statistics"",9,7,4,""Yes - other"",""Text messaging"",50,100,5,2,5,3,3,18,19,12,20,18,1,1,Some,""Some college"",""Rock and roll"",Telepathy,Happy,""Musician or singer"",Health"
"USA,NE,2017,""10        "",Female,15,Right-Handed,170,25,175,1,Car,8,0.765,42,Gymnastics,1000,1000,850,1000,720,820,26,""Left foot"",75,70,""Index finger"",April,Fall,No,No,Fruit,Water,History,7,9,5,""Yes - broadband connection"",""Text messaging"",100,300,15,1,20,5,2,0,20,15,50,10,5,5,Some,""Graduate degree"",Other,Fly,Happy,""Musician or singer"",""International aid"""
"USA,NE,2017,""12        "",Female,17,Right-Handed,157,25,170,1,Car,10,0.443,32,Other,500,500,500,500,500,1000,24,""Right foot"",7.3,7.5,""Ring finger"",April,Fall,Yes,No,Meat,Water,Music,8,10,4,""Yes - other"",""Text messaging"",50,50,2,0,10,20,4,0,10,10,10,5,0,4,Some,""Graduate degree"",Pop,Fly,Healthy,Relative,Health"
